id;date;exercise;meals;alcohol;notes
1;2019-07-22;79654;95071;18343;multi-byte Savings Account Dam
2;2019-07-22;5808;45924;86617;Savings Account alarm
3;2019-07-22;5641;96990;72199;Implementation Electronics Officer
4;2019-07-22;30424;61165;52475;web-readiness
5;2019-07-22;52477;61185;39986;Gorgeous Frozen Pants
6;2019-07-22;45606;9060;78517;grey Cambridgeshire
7;2019-07-22;46676;4645;85994;Yuan Renminbi Centers
8;2019-07-22;94888;94220;96563;cross-platform access
9;2019-07-22;23089;68423;24102;Bahamian Dollar Investment Account
10;2019-07-21;3438;17336;90932;Digitized invoice
